Country,Region,Income_Level,Year,TB_Cases,TB_Deaths,TB_Incidence_Rate,TB_Mortality_Rate,TB_Treatment_Success_Rate,Drug_Resistant_TB_Cases,HIV_CoInfected_TB_Cases,Population,GDP_Per_Capita,Health_Expenditure_Per_Capita,Urban_Population_Percentage,Malnutrition_Prevalence,Smoking_Prevalence,TB_Doctors_Per_100K,TB_Hospitals_Per_Million,Access_To_Health_Services,BCG_Vaccination_Coverage,HIV_Testing_Coverage
Indonesia,Asia,Upper-Middle,2002,14128,3846,150.58,18.99,54.52,3977,7576,11840158,25516,3180,50.49,28.84,22.9,4.1,15.46,52.38,95.87,88.39
Brazil,North America,Lower-Middle,2017,1069,342,167.8,44.2,88.19,4179,3284,412757119,26300,5529,24.06,28.65,33.79,8.18,3.06,46.95,63.78,35.6
Nigeria,South America,High,2006,2473,6316,285.77,6.52,64.55,4961,3283,1246189339,30771,1703,81.77,38.69,6.63,2.26,4.95,40.88,68.91,77.81
Russia,Africa,Lower-Middle,2014,36090,6420,146.46,24.86,69.77,4012,6253,987178400,35730,8354,42.19,20.38,15.0,8.33,13.68,62.2,71.14,84.91
Indonesia,Europe,Upper-Middle,2020,33538,4910,56.87,10.52,64.57,2342,3479,672508232,38391,8024,64.97,39.28,18.0,6.6,4.35,53.88,55.11,49.89
Bangladesh,North America,Lower-Middle,2021,49588,3779,90.78,43.19,63.95,1583,5942,1374334908,30121,9541,62.52,26.83,39.14,2.28,13.74,82.14,69.8,87.34
USA,Africa,Low,2019,8141,8012,95.23,13.42,83.63,3278,6574,1225821404,4678,2354,60.91,33.71,5.12,0.75,19.55,46.58,87.97,34.15
Indonesia,South America,Lower-Middle,2017,9430,5560,422.92,32.04,83.64,4385,5372,1061114638,32948,6970,56.8,48.42,15.78,7.77,16.71,81.54,91.5,86.7
Nigeria,Asia,Lower-Middle,2024,7180,8669,149.32,9.11,73.3,4892,4646,857033041,13776,9943,32.7,26.21,37.56,2.27,3.62,50.17,93.42,83.2
Russia,South America,Upper-Middle,2002,1757,6811,360.2,20.84,79.59,695,5356,1004221841,15328,3864,39.64,23.83,15.73,8.9,10.65,71.49,50.71,24.63
Brazil,Europe,Low,2022,8750,6160,288.24,45.07,73.02,3898,1246,1241035573,6649,8462,56.69,45.76,12.88,1.38,8.74,74.69,88.65,56.49
Nigeria,North America,Upper-Middle,2013,38638,7005,488.75,9.14,51.29,1589,4218,323586573,27828,5088,75.25,45.62,30.55,6.2,19.84,77.02,74.63,57.02
Nigeria,North America,Lower-Middle,2023,29257,156,143.68,33.5,52.97,978,4478,63701053,18636,3831,50.24,49.66,31.09,6.95,19.31,42.27,60.1,23.99
USA,Europe,High,2001,5358,4804,87.6,11.02,67.27,3747,2356,216206771,29518,2008,34.27,29.79,21.53,6.61,2.98,49.79,74.44,22.77
South Africa,Africa,Lower-Middle,2013,41849,5328,35.5,21.37,83.74,2043,1052,986010492,54281,1346,26.16,20.49,38.14,3.23,18.22,47.23,91.37,20.36
Russia,Africa,Upper-Middle,2021,13991,6458,128.07,27.49,91.1,777,4776,180104872,31876,6391,66.41,15.82,12.09,8.77,4.27,70.33,71.28,56.72
China,North America,High,2010,25794,7685,345.19,29.29,51.34,655,4116,1157766065,44462,5773,49.63,6.53,36.97,7.72,6.73,35.3,98.53,52.47
Nigeria,North America,Upper-Middle,2015,45704,1275,51.78,30.52,66.56,4131,8209,915590444,6416,9274,28.78,37.7,31.44,5.15,7.39,66.28,80.22,85.83
South Africa,Asia,Upper-Middle,2007,46138,4300,129.9,32.37,60.07,1089,7330,660601079,5046,5132,67.21,15.51,17.89,6.07,6.09,36.12,74.0,43.96
China,Africa,Low,2006,49772,945,429.1,14.32,86.68,646,3741,572652725,15861,4372,34.53,32.3,33.24,5.71,17.14,53.59,64.45,66.08
Russia,Europe,High,2010,7408,1670,295.65,20.67,88.07,4335,9775,1044749043,3859,7351,55.63,46.25,9.66,9.47,6.93,78.07,50.54,20.53
